t,tau,phi,theta,p_acc,"invL[F[beta, phi, theta, p_acc, 1/tau]](t)","invL[fG[beta, phi, theta, p_acc, tau]](t)"
0,0.07,0.07,6.283,1.,14.285714285714285,28.571438644015966
0,0.07,0.07,6.283,0.539,14.285714285714283,28.57142857093381
0,0.07,0.07,0.12459,1.,14.285714285714285,28.460784614481582
0,0.07,0.07,0.12459,0.539,14.285714285714285,28.46069572558779
0,0.07,4.79,6.283,1.,14.285714285714285,28.571428614527868
0,0.07,4.79,6.283,0.539,14.285714285714286,28.57142857142574
0,0.07,4.79,0.12459,1.,14.285714285714286,28.46069564434299
0,0.07,4.79,0.12459,0.539,14.285714285714285,28.46069572106788
0,2.7,0.07,6.283,1.,0.37037037037037035,0.7407430220624925
0,2.7,0.07,6.283,0.539,0.37037037037037035,0.740740740941318
0,2.7,0.07,0.12459,1.,0.37037037037037035,0.7378698890047376
0,2.7,0.07,0.12459,0.539,0.37037037037037035,0.737869889144785
0,2.7,4.79,6.283,1.,0.37037037037037035,0.7407407407407385
0,2.7,4.79,6.283,0.539,0.3703703703703704,0.7407407407407189
0,2.7,4.79,0.12459,1.,0.37037037037037035,0.7378698890645605
0,2.7,4.79,0.12459,0.539,0.37037037037037035,0.7378698890645212
1.,0.07,0.07,6.283,1.,4.170379738949108,3837.152246304665
1.,0.07,0.07,6.283,0.539,12.889434655245573,253.21409588339603
1.,0.07,0.07,0.12459,1.,4.424881100411509,3374.886673606932
1.,0.07,0.07,0.12459,0.539,12.889495780648629,225.45528000769394
1.,0.07,4.79,6.283,1.,8.546956526146069,14.596326269382622
1.,0.07,4.79,6.283,0.539,7.144886134693514,14.502118059032714
1.,0.07,4.79,0.12459,1.,7.643667317950924,13.0178243909201
1.,0.07,4.79,0.12459,0.539,6.489635634148016,12.987615771141657
1.,2.7,0.07,6.283,1.,0.37012148035119397,1.202388845258877
1.,2.7,0.07,6.283,0.539,0.3702438574575982,0.8992653968159666
1.,2.7,0.07,0.12459,1.,0.37012171831329116,1.1908980872807262
1.,2.7,0.07,0.12459,0.539,0.37024391594747447,0.892534892271514
1.,2.7,4.79,6.283,1.,0.01509474232179921,0.012529004447331082
1.,2.7,4.79,6.283,0.539,0.17531633439078748,0.3236902136654135
1.,2.7,4.79,0.12459,1.,0.014934906872074596,0.012367198496446399
1.,2.7,4.79,0.12459,0.539,0.17526461658999182,0.32183601291241265
5.79,0.07,0.07,6.283,1.,11.083717862957265,8.974278109753026e6
5.79,0.07,0.07,6.283,0.539,8.951583070889424,1146.728109595137
5.79,0.07,0.07,0.12459,1.,5.447945286572691,4.666460560690836e6
5.79,0.07,0.07,0.12459,0.539,8.424753666925145,642.7343394163797
5.79,0.07,4.79,6.283,1.,12.505787379623587,14.603888879661698
5.79,0.07,4.79,6.283,0.539,7.142857142857137,14.50050646965788
5.79,0.07,4.79,0.12459,1.,6.604198201884573,7.679813484925717
5.79,0.07,4.79,0.12459,0.539,3.8386856198384747,7.684106645010913
5.79,2.7,0.07,6.283,1.,0.3620871841445471,4.778376302411946
5.79,2.7,0.07,6.283,0.539,0.3672340473230819,1.6510667015692289
5.79,2.7,0.07,0.12459,1.,0.3621326157629386,4.641263702576965
5.79,2.7,0.07,0.12459,0.539,0.3672394613878972,1.613798937661403
5.79,2.7,4.79,6.283,1.,0.16238659379882553,0.4208559378785581
5.79,2.7,4.79,6.283,0.539,0.21121582738506975,0.4191566225620239
5.79,2.7,4.79,0.12459,1.,0.16001367632876887,0.41212015130322094
5.79,2.7,4.79,0.12459,0.539,0.2097036849481103,0.4118015075325039
