t,tau,phi,theta,p_acc,"invL[ghmcLt[... , 1/tau]](t)","invL[ghmcLtDerived[... , tau]](t)"
0,0.07,0.07,6.283,1.,14.285714285714285,14.285714285714285
0,0.07,0.07,6.283,0.539,14.285714285714283,14.285714285714285
0,0.07,0.07,0.12459,1.,14.285714285714285,14.285714285714286
0,0.07,0.07,0.12459,0.539,14.285714285714285,14.285714285714285
0,0.07,4.79,6.283,1.,14.285714285714285,14.285714285714285
0,0.07,4.79,6.283,0.539,14.285714285714286,14.285714285714286
0,0.07,4.79,0.12459,1.,14.285714285714286,14.285714285714288
0,0.07,4.79,0.12459,0.539,14.285714285714285,14.285714285714285
0,2.7,0.07,6.283,1.,0.37037037037037035,0.37037037037037035
0,2.7,0.07,6.283,0.539,0.37037037037037035,0.37037037037037035
0,2.7,0.07,0.12459,1.,0.37037037037037035,0.37037037037037035
0,2.7,0.07,0.12459,0.539,0.37037037037037035,0.37037037037037035
0,2.7,4.79,6.283,1.,0.37037037037037035,0.37037037037037035
0,2.7,4.79,6.283,0.539,0.3703703703703704,0.37037037037037035
0,2.7,4.79,0.12459,1.,0.37037037037037035,0.37037037037037035
0,2.7,4.79,0.12459,0.539,0.37037037037037035,0.37037037037037035
1.,0.07,0.07,6.283,1.,4.170379738949108,4.170379738981026
1.,0.07,0.07,6.283,0.539,12.889434655245573,12.889434655246808
1.,0.07,0.07,0.12459,1.,4.424881100411509,4.42488110041802
1.,0.07,0.07,0.12459,0.539,12.889495780648629,12.889495780649542
1.,0.07,4.79,6.283,1.,8.546956526146069,8.546956526141033
1.,0.07,4.79,6.283,0.539,7.144886134693514,7.1448861346934995
1.,0.07,4.79,0.12459,1.,7.643667317950924,7.643667317952685
1.,0.07,4.79,0.12459,0.539,6.489635634148016,6.489635634148008
1.,2.7,0.07,6.283,1.,0.37012148035119397,0.370121480351194
1.,2.7,0.07,6.283,0.539,0.3702438574575982,0.3702438574575983
1.,2.7,0.07,0.12459,1.,0.37012171831329116,0.370121718313291
1.,2.7,0.07,0.12459,0.539,0.37024391594747447,0.3702439159474744
1.,2.7,4.79,6.283,1.,0.01509474232179921,0.01509474232179906
1.,2.7,4.79,6.283,0.539,0.17531633439078748,0.1753163343907879
1.,2.7,4.79,0.12459,1.,0.014934906872074596,0.014934906872075021
1.,2.7,4.79,0.12459,0.539,0.17526461658999182,0.1752646165899917
5.79,0.07,0.07,6.283,1.,11.083717862957265,11.083717863004637
5.79,0.07,0.07,6.283,0.539,8.951583070889424,8.951583070898202
5.79,0.07,0.07,0.12459,1.,5.447945286572691,5.447945286584706
5.79,0.07,0.07,0.12459,0.539,8.424753666925145,8.424753666926513
5.79,0.07,4.79,6.283,1.,12.505787379623587,12.505787379681705
5.79,0.07,4.79,6.283,0.539,7.142857142857137,7.142857142857106
5.79,0.07,4.79,0.12459,1.,6.604198201884573,6.604198201870728
5.79,0.07,4.79,0.12459,0.539,3.8386856198384747,3.8386856198384405
5.79,2.7,0.07,6.283,1.,0.3620871841445471,0.3620871841445503
5.79,2.7,0.07,6.283,0.539,0.3672340473230819,0.3672340473230831
5.79,2.7,0.07,0.12459,1.,0.3621326157629386,0.36213261576293865
5.79,2.7,0.07,0.12459,0.539,0.3672394613878972,0.3672394613879041
5.79,2.7,4.79,6.283,1.,0.16238659379882553,0.16238659379882184
5.79,2.7,4.79,6.283,0.539,0.21121582738506975,0.21121582738506922
5.79,2.7,4.79,0.12459,1.,0.16001367632876887,0.16001367632875646
5.79,2.7,4.79,0.12459,0.539,0.2097036849481103,0.2097036849481075
