beta,phi,theta,p_acc,tau,"ghmcLt[... , 1/tau]"
0,0.07,6.283,1.,0.07,NaN
0,0.07,6.283,1.,2.7,NaN
0,0.07,6.283,0.539,0.07,NaN
0,0.07,6.283,0.539,2.7,NaN
0,0.07,0.12459,1.,0.07,64.54771916842208
0,0.07,0.12459,1.,2.7,64.54771916842208
0,0.07,0.12459,0.539,0.07,239.38157822158152
0,0.07,0.12459,0.539,2.7,239.38157822158152
0,4.79,6.283,1.,0.07,NaN
0,4.79,6.283,1.,2.7,NaN
0,4.79,6.283,0.539,0.07,NaN
0,4.79,6.283,0.539,2.7,NaN
0,4.79,0.12459,1.,0.07,63.75630894691423
0,4.79,0.12459,1.,2.7,63.75630894691423
0,4.79,0.12459,0.539,0.07,64.61676907445988
0,4.79,0.12459,0.539,2.7,64.61676907445988
4.192,0.07,6.283,1.,0.07,0
4.192,0.07,6.283,1.,2.7,0.2660053323544764
4.192,0.07,6.283,0.539,0.07,0
4.192,0.07,6.283,0.539,2.7,0.26744649735652454
4.192,0.07,0.12459,1.,0.07,0
4.192,0.07,0.12459,1.,2.7,0.26601385865564803
4.192,0.07,0.12459,0.539,0.07,0
4.192,0.07,0.12459,0.539,2.7,0.2674481038657995
4.192,4.79,6.283,1.,0.07,0
4.192,4.79,6.283,1.,2.7,0.047484808793202056
4.192,4.79,6.283,0.539,0.07,0
4.192,4.79,6.283,0.539,2.7,0.1266928985833882
4.192,4.79,0.12459,1.,0.07,0
4.192,4.79,0.12459,1.,2.7,0.046732643736219784
4.192,4.79,0.12459,0.539,0.07,0
4.192,4.79,0.12459,0.539,2.7,0.1263835518575552
